Anacleto | ¡Ahh!... Buah dios, qué pesadilla, soñé que me robaban el código
Anacleto | Usa 'WASD' para moverte: 'W' arriba, 'A' izquierda, 'S' abajo, 'D' derecha
Anacleto | ...Estoy muy agobiado por el proyecto, estamos apunto de resolver
Anacleto | problemas NP-completos en tiempo polinómico, espero terminarlo pronto...
Anacleto | ...estoy hecho polvo...
Anacleto | ...La verdad es que este proyecto es muy peligroso, si cayese en las manos
Anacleto | equivocadas el mundo entero correría peligro...
Anacleto | ...El profesor ha dicho que vamos muy bien, he de avisar a mi compañero Jiang-Yang
Anacleto | de los últimos cambios que he pensado, creo que pueden ser la solución...
Anacleto | ...Está muy pesado Jiang con que le pase el código a un enlace,
Anacleto | ya le dije que se lo pasaba hoy...
Anacleto | ...Bueno será mejor que me prepare y vaya a clase para acabar cuanto antes...
